ID,Request_ID,Status,Messages,Name,Phone,Email,Language,Route,Address,Order,Unit,ZIP,LAT,LON,Household_Size,Restrictions,Preferences,Driver_Instructions,Restriction Codes
38,74,Active,,Penny Martinez,3526797609,pxnzmdgntl@gmail.com,English,7,1893 SW 70TH AVE,6,,32605,29.736182,-82.298039,1,Check for pre-pack bag. Diabetic - low sodium diet. No starches. Low-prep/no-prep: can't cook or stand for long periods of time. Too many bananas is bad. Pop-top lids preferred,"Fruits: soft fruits like blueberries, any fruit, tomatoes; granola bars and similar, raisins, mixed nuts, whole wheat bread only, jelly, tuna, preferably low sodium; 2% or less milk, eggs, can take rice",,DIAB
39,75,Error,,Caitlin Gray,3521781283,x3uil6enhm@pureemail.com,English,6,3434 NW 42ND PL,10,,32641,29.727323,-82.210465,3,,"Less greens, more fruit; meat, canned goods, potatoes",,
40,78,Active,,James Estrada,3520948000,tubq472t9k@pureemail.com,English,10,2779 SE 15TH TER,7,Apt 114,32641,29.674328,-82.187307,1,Chicken allergy,Produce,,
41,83,Active,,Ann Brooks,3523232223,wbte3rfjve@iloveapps.com,English,7,2716 SW 18TH CT,5,,32605,29.711182,-82.337488,1,Only pack what is listed in Preferences (err on lighter bags if limited supply). Pack bags so delicate items like bananas are on top.,"Fruits (berries, any), veg (lettuce, avocado, olives), olive oil",,
42,84,Cancelled,,Jose Taylor,3528424329,4uvwa5hhdi@iloveapps.com,,,2259 NW 30TH TER,,,,,,,,,,
43,87,Cancelled,,Stacy Kramer,3527928232,7jfnmdrc5s@iloveapps.com,,,125 NW 34TH AVE,,,32609,,,1,Blind/low-vision. Tomato allergy,No-prep foods,,
44,88,Cancelled,,Wanda Hughes,3521954161,j3zboif2l3@pureemail.com,,,970 NW 21ST AVE,,Apt CC292,32608,,,1,"No tomatoes, no pork",Prefers fresh produce,,
45,90,Active,,Ashley Jones,3529292965,71t2d5q3xa@hotmail.com,English,9,1237 SW 6TH PL,6,Apt K,32607,29.652152,-82.302625,3,,"Fresh produce (fruits especially), beans, rice",,
46,91,Active,,Robert Briggs,3527354567,y8pq0cgv12@pureemail.com,English,3,3692 SE 32ND ST,8,"Bldg A, Apt 1",32601,29.688168,-82.287285,2,Blind but can cook. Please double check for rotten produce and weevils in spaghetti. Would like to not receive rebagged bread products,"Fresh produce, dairy, eggs, sauce for pasta, mac n cheese, sandwich items, meat, granola bars and snacks, beans, juice, yogurt, liquid flavor shots, Hamburger Helper, canned meat ",,
47,93,Error,,Joshua Johns,3526477829,loutcmpn36@pureemail.com,English,,3269 NE 58TH TER,,,32607,29.700546,-82.303513,3,,Produce,,
48,94,Active,,Danielle Abbott,3527353306,aibk1twvpk@pureemail.com,English,8,1856 NW 72ND TER,1,,32609,29.779894,-82.261454,5,Vegan,"Any fruits, vegetables (greens, likes any), vegan proteins",,
49,96,Cancelled,,Gina Wiley,3520764996,4uskjpwdkg@pureemail.com,,,1835 SW 62ND CT,,,,,,,,,,
50,99,Active,,Jason Olsen,3525305284,ckvbtsxhoq@iloveapps.com,English,7,3984 NE 32ND PL,4,,32609,29.724165,-82.252044,3,"Vegetarian, no non-whole grains","Produce, whole wheat bread only",,
51,100,Cancelled,,Linda Vega,3525063653,psj8a21iqy@gmail.com,,,3988 SW 31ST PL,,,,,,,,,,
52,101,Active,,Joseph Mendoza,3522032962,b6wo4qyknk@pureemail.com,English,10,934 NW 75TH PL,3,,32641,29.732238,-82.217295,3,Low vision but can cook,"Likes foods for kids. Fruits (oranges, bananas, grapes, tangerines, any) veg (greens, cabbage). Canned veg or tomatoes, canned fruit, elbow macaroni, rice. Eggs",,
53,102,Active,,Stephanie Hayes,3525921849,gktyeq01fk@aol.com,English,10,2737 SE 64TH ST,2,,32641,29.680256,-82.242323,3,No milk (other dairy fine),"Fruits (grapes, strawberries, oranges, apples, bananas),veg (tomatoes, potatoes, greens, sweet potatoes), white bread, white rice, canned tomatoes, green beans, pasta, dry beans (great northern, pinto), eggs",,
54,105,Cancelled,,Mark Mccann,3521461290,5pp8mxo1ep@gmail.com,,,1036 SE 32ND AVE,,,32605,,,1,"No dairy, capsaicin allergy","Less veggies; meat, canned food/soup",,
55,107,Active,,Joseph Hernandez,3525145616,sk0z52ga63@gmail.com,English,15,754 SW 21ST ST,5,,32641,29.656105,-82.241084,2,Doesn't want grains,"Produce, especially bananas, grapes, potatoes; canned goods; flour",,
56,108,Active,,Raymond Strickland,3529290640,0b6cniij56@gmail.com,Kreyol,8,2296 NE 63RD BLVD,3,Apt 92B,32609,29.722872,-82.283261,1,,Produce,,
57,110,Active,,Virginia Clark,3524851801,h2y6yv35bu@iloveapps.com,English,6,3040 NE 16TH TER,2,Apt 213,32601,29.714233,-82.267796,1,,"Produce, fruit preference grapes and mango, tangerines, oranges; as well as yogurt",,
58,111,Cancelled,,Laura Hoover,3527219504,vm9p8m6x7w@hotmail.com,,,3354 SE 69TH AVE,,,,,,,,,,
59,113,Cancelled,,Jason Morales,3524849019,2q02sxuryx@iloveapps.com,,,3421 SW 53RD AVE,,,,,,,,,,
60,118,Active,,Charles Collins,3521288198,xq91zru1f7@iloveapps.com,English,3,309 SW 28TH BLVD,5,Apt 609,32601,29.667286,-82.278703,1,,"Produce, dairy, eggs, meats",,
61,119,Active,,Katelyn Chase,3529691018,u6cmskrzsn@aol.com,English,5,1280 NE 60TH AVE,8,,32607,29.684968,-82.355043,1,"No added sugar, low simple/easily digested carbs. Latex allergy (e.g. no pineapple, mango, lychee, cashew, banana, plantain, kiwi, avocado, potatoes; coco and chilis OK). No grains, no kidney beans","Produce and ""healthy fats"", sweet potatoes, chilis, tomatoes, arugula/greens, lentils, garbanzos",,
62,120,Cancelled,,Patrick Byrd,3521892363,fp8vps1hpo@iloveapps.com,,,664 SE 45TH BLVD,,,,,,,,,,
63,121,Active,,Victor Taylor,3527908692,qrdf2upm10@aol.com,English,1,2516 SW 18TH BLVD,9,Apt E,32608,29.698442,-82.268552,5,Doesn't use dry beans,"Produce, dry goods like canned beans and veg (corn, string beans etc.)",,
64,123,Active,,Kelly Mercado,3529568874,52egwy39nj@pureemail.com,English,2,3241 NW 1ST TER,3,Apt 227,32609,29.66963,-82.256158,4,,"Canned goods, milk, eggs, meat",,
65,145,Active,,Marcus Ruiz,3521912258,cysvdbom2g@hotmail.com,English,13,3195 NW 61ST TER,7,,32608,29.702437,-82.338923,1,,(No pref ind.),,
66,146,Active,,Jonathan Smith,3521476378,x1nevaic3j@aol.com,English,9,92 NW 45TH PL,7,Apt 17,32607,29.668081,-82.289334,2,Peanut allergy,(No pref ind.),,
67,147,Cancelled,,Angela Cohen,3521256379,gp967542sl@pureemail.com,,,118 NW 80TH AVE,,,32641,,,1,,"Chicken, fish, veggies, spaghetti sauce, bread, eggs, milk, potatoes, onions, bell peppers, celery",,
68,148,Active,,Jason Poole,3529798700,wt4jil3f1k@iloveapps.com,English,13,1090 NE 3RD PL,4,Unit J102,32608,29.662495,-82.372159,4,,(No pref ind.),,
69,152,Active,,Andrew Baker,3527552005,9rpgrs2m7b@iloveapps.com,English,6,1142 SE 12TH AVE,5,,32641,29.746078,-82.238438,2,,"Meat, juice, milk, eggs (1/2 dozen at most)",,
70,150,Active,,Dale Hodge,3523343823,9lnrowp93p@iloveapps.com,English,15,1899 NW 43RD AVE,8,Lot 2,32641,29.740391,-82.26791,2,,"Hamburger meat, milk, bread, chicken, lunch meat, milk",,
71,151,Active,,Chris Diaz,3527744573,vr9vq1rruy@aol.com,English,9,2606 SE 70TH AVE,8,Apt 34,32607,29.723989,-82.314031,4,,"Beans, rice, vegetables, bread",,
72,154,Cancelled,,Derek Ruiz,3525177158,ofc1w5axn0@iloveapps.com,,,133 SE 16TH BLVD,,,32609,,,5,,(No pref ind.),,
73,156,Active,,Michael Rhodes,3525995241,dkjs5rnef5@aol.com,English,3,722 NW 39TH BLVD,9,Apt 17,32601,29.697457,-82.313858,1,,"Fresh produce, bread, eggs",,
74,155,Cancelled,,Alison Johnson,3522029975,q6syodrbza@hotmail.com,,,1454 SW 31ST TER,,Apt 35,32653,,,2,"NO CHILI No ramen NO GRAPES boxed/dry spaghetti, rice, or bread. No veggies. No bananas, no broccoli. One person is diabetic","tuna!! watermelon, oranges, tangerines, berries, milk, eggs, cereal, pastries, snacks, canned goods like stew, spaghetti & meatballs, canned meats like tuna, tuna salad, canned chicken, and corned hash",,
75,164,Active,,Daniel Larson,3528517625,3uy7jp94px@gmail.com,English,1,2340 SW 12TH AVE,7,Apt A,32608,29.671735,-82.365117,1,"No meat, no bread",Just wants fruits and veggies,,
76,165,Active,Hello! We attempted to call you but it looks like your carrier is blocking our number. Please give a call whenever you're able.,Dr. Elizabeth Perez,3529807685,1r8nlhtkij@gmail.com,English,11,2689 SW 22ND BLVD,6,Apt G56,32653,29.742455,-82.283596,4,Difficult to cook,"Corn, green beans, collard greens, potatoes, onions, bell peppers, apples; milk, cereal, spaghetti, TV dinners, sweets, snacks, juice, chicken, pork chops, ground beef, fries, potatoes, seasoned salt, condiments, cheese, hot dogs, bread",,
77,167,Active,,David Moore,3521735879,l4hjtu2w42@hotmail.com,English,16,3364 NE 58TH ST,7,Apt 109,32607,29.745723,-82.355101,5,No lettuce or broccoli. Customer cannot take any even slightly rotten produce - please err on giving less if you have any doubts,"Produce and fruit but please check for quality, milk (check date), pasta, bread (with no powder or mold), baby food for a 1 year old, cereal",,
78,168,Active,,Daniel Weber,3525165289,ijo3dkvso5@aol.com,English,15,1667 SE 44TH CT,2,,32641,29.732074,-82.275543,1,"No large produce that requires lots of prep, no canned goods exc specified, no pork, no beans. No flourless bread","Poultry, lamb, fruits, vegetables (spinach, broccoli esp, salads esp kits, zucchini, yellow squash, no celery or carrots), canned or fresh/raw fish, bread, pastries, nuts, canned chicken, cereals, white cheese, eggs, milk, butter",,
79,169,Error,,Vanessa Rogers,3521620994,yz1ajzgtj8@iloveapps.com,English,,1125 SE 60TH PL,,,,29.692239,-82.259648,2,Check for pre-pack bag. No perishables. Shelf-stable only. No red meat,"Fruits (raisins, canned pineapple, shelf-stable fruits). 100% whole grain bread. Canned vegetables (green vegetables, corn, carrots), canned tuna, canned beans. On a strict diet and wants canned chicken, salmon, turkey, etc.",,STOR
80,170,Active,,Travis Alexander,3526726802,srlb9fz1n6@hotmail.com,English,12,2956 NE 36TH CT,9,Apt 1,32607,29.742051,-82.363793,5,No cereal,"Fruits, vegetables, juices, stuff for elementary children, rice, beans",,
81,172,Active,,John Bond,3521392221,uck0u0lv4g@pureemail.com,English,16,2997 NE 70TH PL,4,Apt 523,32608,29.63762,-82.385988,4,,"Wants more produce, less dry goods, canned meats",,
82,174,Cancelled,,Julie Smith,3524041320,u33fbyzvz1@hotmail.com,,,3129 SW 8TH ST,,,,,,,,,,
83,176,Cancelled,,Melissa Salas,3529582103,ow6i1e54o2@pureemail.com,,,3175 SE 67TH AVE,,,,,,,,,,
84,178,Active,,Sara Lewis,3525261378,0mdrzpjy6l@gmail.com,English,12,283 NW 12TH TER,2,Apt 9105,32607,29.686286,-82.32823,3,No overripe fruit,"Pear, strawb, canteloupe, gr bananas, any fruit. Onions, bell pepper, squash, zucc, tomato, cuc, kale, greens, spinach, broc. Can gr bean, pork&beans, peas, tuna. Beans (navy, red, lima), oatmeal, grits, rice, noodles, juice, water, chips. Bacon, butter",,
85,181,Active,Hello! We tried calling you but it looks like your carrier is blocking our number. Please give us a call when you can,Jennifer Mason,3520180617,if2zibb6cp@hotmail.com,English,16,1008 NE 28TH AVE,2,Lot 2223,32608,29.690105,-82.365184,2,"Main recipient is disabled, but has someone to cook for them occassionally","Broccoli, zucchini, chicken, Turkey sausage, lettuce or spinach, eggs, hotdogs, tortillas, hotdog chili. Would prefer more meats",,
86,183,Cancelled,,Joe Miller,3520301207,jiff2hwoah@pureemail.com,,,407 NW 62ND CT,,,,,,,,,,
87,184,Cancelled,,Kevin Thompson,3528901339,0g9yotpcv0@aol.com,,,744 NW 74TH AVE,,,32609,,,1,Vegan,"Fresh salad ingredients, veggie soups, oats, tofu, beans, lemon, tomatoes, peanut butters, banana, anything vegan ",,
88,185,Cancelled,,Linda Mueller,3528916715,akmmokomoz@pureemail.com,,,714 NE 38TH AVE,,,,,,,,,,
89,186,Cancelled,,Kristin Bennett,3523036861,h5lk8kf50m@iloveapps.com,,,657 SW 58TH CT,,,,,,,,,,
90,187,Active,,Edwin Carter,3528809923,51prw9dqy5@gmail.com,English,3,1474 SW 18TH CT,3,,32601,29.682749,-82.251425,3,"No canned goods, no pre-packed goods - only loose produce. No apples (9/14)","Fresh fruits, veggies, eggs",,
91,188,Cancelled,,Kelly Hughes,3528659309,hva3g87sum@pureemail.com,,,2667 SW 41ST ST,,W 156,32605,,,5,,"Milk, grapes, watermelon, lettuce, cucumber, tomatoes, bagels, yogurt, ham, Swiss cheese, orange juice, cereal, oatmeal, ground beef, tofu, eggs, cream cheese",,
92,189,Cancelled,,Joy Herman,3528093853,bvr8czzx5f@pureemail.com,,,2547 NE 35TH TER,,,,,,,,,,
93,190,Cancelled,,Stephen Simon,3525623634,1dpx7czmmh@gmail.com,,,3835 SE 2ND TER,,,32641,,,1,"No citrus fruit. Try to get non-gmo, organic & hormone-free due to autoimmune issues","Apples,berries; kale/chard, beets, broc., onion,carrot,tomat,peppers,mushroom, sw potato, potato. Egg, meat, tofu, tempeh, chkpea, pnt butter, jelly, lentils. Whole gr bread, lentils, brown rice, oatmeal. Plain yogurt, cream cheese, sour cream, butter. ",,
94,191,Active,,Sarah Brown,3526886506,7xvkge5c7z@iloveapps.com,English,15,125 SW 26TH AVE,4,Apt W160,32641,29.673103,-82.21064,2,,"Fruit (mangoes, bananas, plums), veg (tomatoes, okra, onions, cabbage, corn), white bread, pastries, canned gr beans. Eggs, milk",,
95,192,Active,Hello! We attempted to call you but it looks like your carrier is blocking our number. Please give a call whenever you're able.,William Strong,3523776553,duw725mmef@gmail.com,English,11,326 SW 29TH CT,3,Apt D,32601,29.690307,-82.218854,2,Low sodium,(No pref. ind),,
96,193,Active,,Melanie Banks,3521592720,aum4y6xeys@iloveapps.com,English,5,2087 SE 48TH TER,6,,32605,29.684076,-82.366321,1,"Vegan; allergies to gluten, dairy, bananas; no seafood ","Plums, watermelon, melon, grapes, blueberries, strawberries, cherries, peaches; zucchini, carrots, onions, mushrooms, spinach, cauliflower; gluten free pastas, Ragu, gluten-free bread, coconut almond milk, tofu, vegan cheeses, tofu, curry sauces",,
97,195,Cancelled,,Dalton Boyd,3529573691,vklscdm243@hotmail.com,,,2365 NW 22ND PL,,,32601,29.714851,-82.211614,6,,"Fresh veggies, fruits, milk, snacks for kids ",,
98,197,Active,,Jesse Blankenship,3521769896,cj75hrvccs@hotmail.com,English,8,2345 SE 39TH PL,6,,32609,29.68791,-82.269416,1,"Vegan and gluten free; severely allergic to eggs and dairy, allergic to turkey","All produce, canned beans; gluten-free flours, gf pastas, gf crackers, vegan and gf chips; non-dairy milks; nuts and nut butters; Cheerios and gf cereals; tuna, non-dairy yogurt",,
99,198,Active,,Brian Kelley,3520854479,lgnuuwrwqa@gmail.com,English,1,780 NE 17TH TER,6,Apt P133,32608,29.690367,-82.338239,3,No canned goods,"Fresh fruit; bananas, watermelon, pineapple, mango. canned fruit, fresh veggies; mushrooms, potatoes, zucchini, broccolli",,
100,199,Active,,Cody Crane,3527078397,qlvvhpb7qa@gmail.com,English,3,2193 NE 5TH BLVD,6,,32601,29.711275,-82.26648,3,No rice,"Chicken, ground beef, milk, eggs",,
101,200,Cancelled,,Lauren Acevedo,3524492286,7on5xadumy@hotmail.com,,,2071 SW 24TH TER,,,32609,,,1,"No seafood, milk, beef, pork, fish","Soymilk, bread, oatmeal, eggs, apples, bananas, stone fruit, salad, peanut butter, cereal, fruit juice, snacks, water, produce, grains",,
102,201,Cancelled,,Charles Stokes,3521441990,gyp7rz5hkn@pureemail.com,,,3763 NE 34TH BLVD,,,32603,,,3,,"Chicken, hamburger, pasta, rice, corn, green beans, pork chop, meats",,
103,201,Cancelled,,Olivia Moss,3520981368,2oky4ceho9@aol.com,,,2291 SE 22ND CT,,,,,,,,,,
104,202,Active,,Peter Rodgers,3523471051,7voj9qndjz@gmail.com,English,12,3171 SW 4TH TER,3,,32607,29.669092,-82.349494,2,Disabled,"Milk, cereal, eggs, bread, bacon, butter, spaghetti sauce, elbow noodles, spaghetti noodles, canned goods, rice, flour, sugar",,
105,203,Active,,Martin Cantrell,3526478646,bvfkhj8422@hotmail.com,English,15,254 SE 2ND PL,1,,32601,29.746989,-82.280662,1,Vegan,"Rice, quinoa, couscous, lentils, beans, quick oats, bread, less fruits and veggies",,
106,206,Active,,Rebecca Williams,3528745948,1dlozr8t6o@pureemail.com,English,15,3485 SE 73RD TER,7,Apt 101,32641,29.657355,-82.195772,5,Check for pre-pack bag. Diabetic and gluten-intolerant,"Avocado, broc., caulifl., zucch, ylw squash, okra, tomato, onion, peppers, leafy greens, fruit (berries, bananas); can gr. bean, spinach; herring, sardines, tuna, salmon, chx, pork, beef, nuts, seeds, pnt/almond butter, shelf milk (coco, almond, cow)",,DIAB GLUT
107,208,Cancelled,,Cassandra Knight,3524404892,6ik950a4su@iloveapps.com,,,1676 SW 45TH BLVD,,APT B-12,32609,,,2,,"Produce, tomato/vegetable juice, sliced/block cheese, coffee, instant rice/potatoes",,
108,209,Active,,Reginald Mercado,3527565714,q21ycbspbz@pureemail.com,English,2,647 NW 62ND BLVD,8,APT 20E,32608,29.639493,-82.252142,2,,"Milk, cereal, ground beef, pasta, alfredo sauce, broccoli ",,
109,210,Active,,Danielle Adams,3529225167,8mmscjs3xn@hotmail.com,English,7,748 NW 17TH CT,8,,32653,29.710783,-82.352997,1,Check for pre-pack bag. Celiac's disease - strictly no gluten,"Any fruit; potatoes, pre-bagged salads; rice, gf pasta, gf cereal, gf bread; gr beef, chx, pork; milk, eggs, butter, white cheese (sliced and shredded); diced/stewed can potatoes, olive oil, mayo, mustard, ketchup, diet soda, iced tea",,GLUT
110,214,Active,,Paul Snow,3525114772,oe6wjxbhna@iloveapps.com,English,15,939 SW 63RD PL,3,Unit F-1,32641,29.687129,-82.29634,3,,"Meat, canned goods, cereal, milk, dry beans",,
111,216,Cancelled,,Susan Thomas,3526552631,lrourb2m8d@hotmail.com,,,1660 NW 57TH PL,,Apt 17,32601,,,2,,"Milk, chicken, cream corn, tuna, spinach, kale, Mac and cheese, peas, flavored oatmeal, etc.",,
112,223,Cancelled,,Mark Patel,3523096346,lui51qcj5p@pureemail.com,,,2151 NW 24TH BLVD,,Apt 1112,32608,,,1,,"tomatoes, carrots, lettuce, rice zucchini, broccoli, greens, cucumber, bananas, all fruits ",,
113,224,Cancelled,,Donald Cardenas,3529114308,ge6vgfna5w@hotmail.com,,,3289 NE 18TH BLVD,,,32608,,,3,No gluten,"Sweet potatoes, berries, spinach, kale, carrots, cucumbers, mushrooms, parsley, basil; beans, lentils, gf pasta, gf bread), yogurt, meat (fish, chicken), canned goods (canned tomatoes, spaghetti sauce)",,
114,226,Active,,Amy Mccall,3528164588,kzmf2mwrxy@aol.com,English,5,3362 SE 77TH AVE,4,Apt 106,32606,29.698987,-82.384884,2,No,"Rice, sugar, eggs, potatoes, canned foods, bread, yogurt, toiletries, dry bulk foods",,
